#Parameters = {Linear_Spiral_cst_torrus_N=10; Linear_Spiral_cst_torrus_h=10; Linear_Spiral_cst_torrus_orientation=0; Linear_Spiral_cst_torrus_phi=30; Linear_Spiral_cst_torrus_ra=5; Linear_Spiral_cst_torrus_ri=5; Nturns=4; blend_radius=2; mainCoil_H=22; mainCoil_L=29; mainCoil_WG=0.5; mainCoil_winding_gap=0.1; mountingOffset=6; mountingThicnkess=14.4; turnLength=102}
#"Frequency / GHz"	"Z1,1 (mainCoil_winding_gap=0.1) [Real/Imaginary Part] [Re]"	"Z1,1 (mainCoil_winding_gap=0.1) [Real/Imaginary Part] [Im]"
#-------------------------------------------------------------------------------------------------------------------------------------------
0.052570000000000	1.1856579827600	339.78195549172
0.053560000000000	1.2114194188288	347.92700093122
0.054550000000000	1.2377843870643	356.18900506751
0.055540000000000	1.2647833657900	364.57220315048
0.056530000000000	1.2924482882733	373.08099242617
0.057520000000000	1.3208126393926	381.71994086589
0.058510000000000	1.3499115593020	390.49379643818
0.059500000000000	1.3797819544356	399.40749696357
0.060490000000000	1.4104626174872	408.46618059710
0.061480000000000	1.4419943556419	417.67519698575
0.062470000000000	1.4744201293340	427.04011915385
0.063460000000000	1.5077852014476	436.56675617199
0.064450000000000	1.5421372981477	446.26116667305
0.065440000000000	1.5775267829512	456.12967328095
0.066430000000000	1.6140068443224	466.17887802721
0.067420000000000	1.6516336988358	476.41567883553
0.068410000000000	1.6904668112368	486.84728716173
0.069400000000000	1.7305691325869	497.48124688673
0.070390000000000	1.7720073590701	508.32545456749
0.071380000000000	1.8148522124484	519.38818116199
0.072370000000000	1.8591787453874	530.67809535645
0.073360000000000	1.9050666735366	542.20428863395
0.074350000000000	1.9526007370691	553.97630224001
0.075340000000000	2.0018710950344	566.00415621462
0.076330000000000	2.0529737561071	578.29838067871
0.077320000000000	2.1060110488484	590.87004958312
0.078310000000000	2.1610921366451	603.73081714940
0.079300000000000	2.2183335815178	616.89295725729
0.080290000000000	2.2778599628175	630.36940606159
0.081280000000000	2.3398045561491	644.17380815154
0.082270000000000	2.4043100802236	658.32056660282
0.083260000000000	2.4715295193069	672.82489731013
0.084250000000000	2.5416270292268	687.70288803560
0.085240000000000	2.6147789385055	702.97156265724
0.086230000000000	2.6911748540352	718.64895116046
0.087220000000000	2.7710188864876	734.75416598228
0.088210000000000	2.8545310082330	751.30748539015
0.089200000000000	2.9419485610239	768.33044466589
0.090190000000000	3.0335279343552	785.84593596070
0.091180000000000	3.1295464339533	803.87831779816
0.092170000000000	3.2303043676072	822.45353533382
0.093160000000000	3.3361273770833	841.59925262252
0.094150000000000	3.4473690492900	861.34499831885
0.095140000000000	3.5644138469361	881.72232642855
0.096130000000000	3.6876804021348	902.76499395902
0.097120000000000	3.8176252272417	924.50915757774
0.098110000000000	3.9547469021952	946.99359169544
0.099100000000000	4.0995908129677	970.25993074910
0.10009000000000	4.2527545204448	994.35293887570
0.10108000000000	4.4148938630966	1019.3208106607
0.10207000000000	4.5867299046129	1045.2155072213
0.10306000000000	4.7690568689409	1072.0931325642
0.10405000000000	4.9627512192344	1100.0143559647
0.10504000000000	5.1687820796579	1129.0448870702
0.10603000000000	5.3882232260696	1159.2560115689
0.10702000000000	5.6222669274386	1190.7251966281
0.10801000000000	5.8722399634943	1223.5367769405
0.10900000000000	6.1396222266971	1257.7827341827
0.10999000000000	6.4260683893774	1293.5635850697
0.11098000000000	6.7334332292334	1330.9893960794
0.11197000000000	7.0638013403658	1370.1809464361
0.11296000000000	7.4195221055696	1411.2710652601
0.11395000000000	7.8032510406070	1454.4061740882
