#Parameters = {H=9; L=20; N=3; a=70; circumf=59.274333882308; effective_cross_section=974.46900494077; gap=1; gp_t=1; m1=2; m2=2.14; n1=5; offset=1; planeW=0.5; spread_factor=2; tw=0.5; wg=0.5; wire_length=201.09733552923}
#"Z / mm"	"h-field (f=0.1275) (1)_Abs (Z) [Real Part]"
#-----------------------------------------------------
-26.103582629674	2.6597890069140
-26.003618817853	2.6821474662571
-25.903655006031	2.7046647298035
-25.803691194210	2.7273410050540
-25.703727382388	2.7501768170966
-25.603763570567	2.7731716291675
-25.503799758745	2.7963254939821
-25.403835946924	2.8196383786849
-25.303872135103	2.8431097945821
-25.203908323281	2.8667407321766
-25.103944511460	2.8905311675268
-25.003980699638	2.9144801301967
-24.904016887817	2.9385881314858
-24.804053075995	2.9628558487063
-24.704089264174	2.9872811816379
-24.604125452352	3.0118667064616
-24.504161640531	3.0366107909894
-24.404197828709	3.0615141137019
-24.304234016888	3.0865769379518
-24.204270205066	3.1117987793700
-24.104306393245	3.1371789283367
-24.004342581423	3.1627183315332
-23.904378769602	3.1884170042963
-23.804414957780	3.2142749319328
-23.704451145959	3.2402914010092
-23.604487334138	3.2664673655155
-23.504523522316	3.2928023465691
-23.404559710495	3.3192961229130
-23.304595898673	3.3459493807936
-23.204632086852	3.3727609632934
-23.104668275030	3.3997322852133
-23.004704463209	3.4268623984029
-22.904740651387	3.4541515088069
-22.804776839566	3.4816003771201
-22.704813027744	3.5092068614961
-22.604849215923	3.5369742610047
-22.504885404101	3.5648992710196
-22.404921592280	3.5929835514787
-22.304957780458	3.6212275758292
-22.204993968637	3.6496301634574
-22.105030156815	3.6781913122571
-22.005066344994	3.7069129153874
-21.905102533172	3.7357933413382
-21.805138721351	3.7648313524901
-21.705174909530	3.7940300762576
-21.605211097708	3.8233868957360
-21.505247285887	3.8529032464123
-21.405283474065	3.8825783920765
-21.305319662244	3.9153094243465
-21.205355850422	3.9509240632667
-21.105392038601	3.9867834044883
-21.005428226779	4.0228916980306
-20.905464414958	4.0592507676538
-20.805500603136	4.0958627687272
-20.705536791315	4.1327308915803
-20.605572979493	4.1698570717673
-20.505609167672	4.2079289876796
-20.405645355850	4.2589901604829
-20.305681544029	4.3102033788207
-20.205717732207	4.3615659136164
-20.105753920386	4.4130780823834
-20.005790108565	4.4647427140787
-19.905826296743	4.5165568653391
-19.805862484922	4.5685219888370
-19.705898673100	4.6206376679088
-19.605934861279	4.6729034947476
-19.505971049457	4.7253187495505
-19.406007237636	4.7778864628523
-19.306043425814	4.8306054293303
-19.206079613993	4.8834754918389
-19.106115802171	4.9364969387384
-19.006151990350	4.9896720442759
-18.906188178528	5.0862846818195
-18.806224366707	5.1865055088872
-18.706260554885	5.2876778104941
-18.606296743064	5.3898062109515
-18.506332931242	5.4928958446626
-18.406369119421	5.5969534357545
-18.306405307600	5.7019821363901
-18.206441495778	5.8079922433812
-18.106477683957	5.9149866842481
-18.006513872135	6.0229726515379
-17.906550060314	6.1319535293488
-17.806586248492	6.2419379934547
-17.706622436671	6.3529281056345
-17.606658624849	6.4649353235049
-17.506694813028	6.5616611878145
-17.406731001206	6.6539023934091
-17.306767189385	6.7478428966890
-17.206803377563	6.8434785886920
-17.106839565742	6.9408181410274
-17.006875753920	7.0398582688882
-16.906911942099	7.1406043069742
-16.806948130277	7.2430537150199
-16.706984318456	7.3472100554462
-16.607020506634	7.4530719525240
-16.507056694813	7.5606442015388
-16.407092882992	7.6699280261918
-16.307129071170	7.7809221961828
-16.207165259349	7.8936298598528
-16.107201447527	8.0080501471115
-16.007237635706	8.1241837159231
-15.907273823884	8.2420352957799
-15.807310012063	8.3616023274925
-15.707346200241	8.4814058318422
-15.607382388420	8.6003997970760
-15.507418576598	8.7205207823484
-15.407454764777	8.8417643060874
-15.307490952955	8.9641312053821
-15.207527141134	9.0876255275211
-15.107563329312	9.2122476001701
-15.007599517491	9.3379993896977
-14.907635705669	9.4648779008805
-14.807671893848	9.5928896971745
-14.707708082027	9.7220313780122
-14.607744270205	9.8523074595977
-14.507780458384	9.9837159412233
-14.407816646562	10.116260050788
-14.307852834741	10.249940734183
-14.207889022919	10.384760168033
-14.107925211098	10.520716746841
-14.007961399276	10.657814326749
-13.907997587455	10.796054990424
-13.808033775633	10.935432179987
-13.708069963812	11.075955486790
-13.608106151990	11.217622487112
-13.508142340169	11.360435984479
-13.408178528347	11.504396199877
-13.308214716526	11.649499293614
-13.208250904704	11.795754955264
-13.108287092883	11.943161564068
-13.008323281062	12.091713960921
-12.908359469240	12.241423266688
-12.808395657419	12.392281538549
-12.708431845597	12.614138446177
-12.608468033776	12.847590954667
-12.508504221954	13.082299663736
-12.408540410133	13.318263993624
-12.308576598311	13.555502715853
-12.208612786490	13.794021465381
-12.108648974668	14.033832319835
-12.008685162847	14.274953016723
-11.908721351025	14.517383187426
-11.808757539204	14.822129860611
-11.708793727382	15.139657550790
-11.608829915561	15.461606029831
-11.508866103739	15.787995435906
